Texts,Text_Level,MLS,MLT,MLC,C.S,VP.T,C.T,DC.C,DC.T,T.S,CT.T,CP.T,CP.C,CN.T,CN.C
ELA0001_3.txt,3,9.6154,9.6154,7.0423,1.3654,1.6154,1.3654,0.2535,0.3462,1,0.3077,0.1154,0.0845,0.9615,0.7042
ELA0002_5.txt,5,11.7656,11.7656,7.6837,1.5312,1.8125,1.5312,0.2857,0.4375,1,0.3594,0.25,0.1633,1.25,0.8163
ELA0003_7.txt,7,14.4627,13.8429,8.5752,1.6866,1.9429,1.6143,0.3363,0.5429,1.0448,0.4571,0.3571,0.2212,1.5429,0.9558
ELA0004_9.txt,9,19.8462,18.1053,9.0526,2.1923,2.4386,2,0.4298,0.8596,1.0962,0.6316,0.4386,0.2193,2.1404,1.0702
ELA0005_12.txt,12,26.8056,23.8272,10.663,2.5139,2.9506,2.2346,0.4475,1,1.125,0.6667,0.7407,0.3315,2.6543,1.1878
ELA0006_3.txt,3,8.24,8.4082,7.7736,1.06,1.1837,1.0816,0.0755,0.0816,0.98,0.0816,0.1224,0.1132,0.7551,0.6981
ELA0007_5.txt,5,10.7619,10.7619,9.6857,1.1111,1.1905,1.1111,0.0857,0.0952,1,0.0952,0.2063,0.1857,1.1111,1
ELA0008_7.txt,7,13.9375,12.9275,11.2911,1.2344,1.2609,1.1449,0.1266,0.1449,1.0781,0.1739,0.3043,0.2658,1.3768,1.2025
ELA0009_9.txt,9,17.0517,15.4531,11.9157,1.431,1.5156,1.2969,0.2169,0.2812,1.1034,0.2969,0.3906,0.3012,1.7656,1.3614
ELA0010_12.txt,12,20.8901,18.4563,13.2937,1.5714,1.8932,1.3883,0.2238,0.3107,1.1319,0.2621,0.534,0.3846,2.0485,1.4755
ELA0011_3.txt,3,8.3519,8.5094,7.7759,1.0741,1.2075,1.0943,0.0862,0.0943,0.9815,0.0943,0.0755,0.069,1.0189,0.931
ELA0012_5.txt,5,10.6438,10.5,9.5926,1.1096,1.1892,1.0946,0.1111,0.1216,1.0137,0.1216,0.2027,0.1852,1.3378,1.2222
ELA0013_7.txt,7,14.2769,14.5,12.0519,1.1846,1.3594,1.2031,0.1818,0.2188,0.9846,0.2031,0.3594,0.2987,2.0312,1.6883
ELA0014_9.txt,9,17.569,17.569,13.5867,1.2931,1.5172,1.2931,0.2,0.2586,1,0.2414,0.4483,0.3467,2.5172,1.9467
ELA0015_12.txt,12,23.8125,22.4118,15.0395,1.5833,1.8627,1.4902,0.3026,0.451,1.0625,0.3725,0.5686,0.3816,3.2549,2.1842
ELA0016_3.txt,3,8.7963,8.9623,6.6901,1.3148,1.6604,1.3396,0.1972,0.2642,0.9815,0.2642,0.1321,0.0986,0.8302,0.6197
ELA0017_5.txt,5,12.3788,12.7656,8.2525,1.5,1.9219,1.5469,0.303,0.4688,0.9697,0.3594,0.2812,0.1818,1.5938,1.0303
ELA0018_7.txt,7,15.403,15.6364,9.9231,1.5522,2.0758,1.5758,0.3077,0.4848,0.9851,0.3788,0.3788,0.2404,1.8485,1.1731
ELA0019_9.txt,9,16.8676,16.8676,10.6204,1.5882,2.1324,1.5882,0.3241,0.5147,1,0.3676,0.4559,0.287,2.1471,1.3519
ELA0020_12.txt,12,21.803,21.803,11.4206,1.9091,2.6364,1.9091,0.4127,0.7879,1,0.4848,0.5909,0.3095,2.8939,1.5159
ELA0021_3.txt,3,8.0548,8.2817,7.2593,1.1096,1.3521,1.1408,0.1358,0.1549,0.9726,0.1268,0.0704,0.0617,0.7746,0.679
ELA0022_5.txt,5,10.7681,10.6143,8.1648,1.3188,1.6,1.3,0.2308,0.3,1.0145,0.2429,0.1714,0.1319,1.0571,0.8132
ELA0023_7.txt,7,14.1587,13.7231,8.92,1.5873,1.8154,1.5385,0.34,0.5231,1.0317,0.4154,0.2769,0.18,1.6154,1.05
ELA0024_9.txt,9,17.5246,15.4928,9.5446,1.8361,2.029,1.6232,0.3929,0.6377,1.1311,0.5072,0.3188,0.1964,1.8696,1.1518
ELA0025_12.txt,12,19.7386,15.6486,9.7584,2.0227,2.009,1.6036,0.3652,0.5856,1.2614,0.4595,0.3063,0.191,1.8649,1.1629
ELA0026_3.txt,3,9.4035,8.5079,6.7848,1.386,1.4127,1.254,0.1392,0.1746,1.1053,0.127,0.1429,0.1139,0.873,0.6962
ELA0027_5.txt,5,12.3676,11.2133,7.787,1.5882,1.6667,1.44,0.2037,0.2933,1.1029,0.1867,0.1867,0.1296,1.3467,0.9352
ELA0028_7.txt,7,15.7647,13.5696,8.4409,1.8676,2.0127,1.6076,0.2677,0.4304,1.1618,0.3165,0.2911,0.1811,1.6582,1.0315
ELA0029_9.txt,9,18.9242,16.4342,9.1168,2.0758,2.3158,1.8026,0.3139,0.5658,1.1515,0.3947,0.3816,0.2117,1.9474,1.0803
